FEN,Move
r4rk1/1p1b2pp/1qp1p3/3pP3/1P1PpPB1/P5P1/7P/R2Q1RK1 b - - 2 19,a8a7
6k1/pp4q1/2p2r2/3p3Q/5PNp/P1P1P2P/1P4P1/2KR3R b - - 1 30,g7f7
1r4k1/B5bp/4p1p1/1P1pP3/5P2/2P5/1P4P1/4K2R b K - 0 23,b8b5
rnb1q1k1/ppp1rppp/8/3p4/3P4/P4B1P/1PP2PP1/R1BQ1RK1 w - - 4 13,f3d5
5r1k/p2N2pp/7q/2pQ3P/5P2/b3P3/P7/5RK1 w - - 0 29,d7f8
8/ppp2pkp/2np2p1/8/4R3/2qP3P/2P2PP1/1RK5 b - - 7 28,d6d5
3r1r1k/pp3p1p/2pp2Pq/4n3/4P3/6QN/PPP1R1PP/1K1R4 b - - 0 24,f7g6
r3rnk1/1p1b3p/p1p1p1pn/2PpP3/3P1RPP/1P1B1N2/P4B2/3R2K1 b - - 0 29,e8e7
rn3rk1/ppp2pp1/1b2bq1p/3N4/8/5N2/PPP1BPPP/R2Q1RK1 b - - 1 12,f6b2
8/8/7p/1p3kn1/P3p3/2B1K3/8/8 w - - 0 44,a4b5
r4r1k/pp2npp1/4p3/Q6P/8/P2KPN2/5PP1/R6R b - - 0 23,f8c8
3kr3/p1p2ppR/8/4p3/1b1p2P1/3PPn2/rBKP4/8 b - - 0 29,f3d2
2r3k1/2pR1pp1/p3p2p/1p1bP3/1P2pP2/P3P3/1BP1K1PP/8 b - - 1 20,g8f8
rnbq1rk1/pp2ppbp/5Bp1/8/2pP4/2N2N2/PPP2PPP/R2Q1RK1 w - - 0 10,f6g7
r3k2r/p1pnqppp/1pQb4/8/4PP2/8/PPPB2PP/RN3RK1 b kq - 6 13,e8c8
r3n2k/1p4bp/pqb3p1/2pp1r2/P3NP2/3P3P/1PPB2PN/1R1Q1RK1 w - - 0 20,a4a5
rn3rk1/p1p2pBp/1p2p1p1/3q4/8/1P3N2/P1PPQPPP/2KR3R b - - 0 12,g8g7
1k6/pp1nrp1p/8/5N2/5P2/4P3/PPR1K2P/8 b - - 2 26,e7e6
r2qkb1r/2p1nppp/p7/1p1p4/3n4/1BNQ3P/PPP2PP1/R1B1K2R b KQkq - 1 11,d4b3
8/R5p1/4kpP1/8/P3PK2/6P1/2r4P/8 b - - 0 37,c2h2
r4rk1/pp3ppp/2p1p3/4n1P1/4N2P/1PPPK3/P4P2/4R2R w - - 5 23,h4h5
3r2nQ/3kb2p/Bq1pp3/8/2R5/2N1B3/PPP2P1P/2K4b w - - 1 24,e3b6
4r1k1/2p3pp/1pp3b1/p2r4/P2P4/1N1p1PP1/1P1R2KP/R7 w - - 3 23,g2f2
2r2rk1/3bnpb1/pq2p1p1/1p1pP3/2pP1P1p/P1P1B1NP/BP4PK/2RQ1R2 w - - 0 22,g3e2
6k1/6pp/p7/1pqpn3/8/P3PN2/4Q1KP/8 b - - 1 35,c5c4
2rq1rk1/p2n1pbp/4p1p1/2Pb4/8/P2BPN2/1BQ2PPP/R4RK1 b - - 0 15,d5f3
4k2r/2p1b2p/5p2/4n3/7P/4P3/P3K3/8 b k - 0 27,e7a3
1rbk3r/p1p1bp1p/2p2Np1/2p1P3/1BB1qP2/1P6/P5PP/R3K2R w KQ - 0 20,f6e4
8/1R3pk1/6pp/1B6/1P6/P1n3PP/5P2/6K1 b - - 0 44,c3e4
rn1qkb1r/2p2ppp/p2p1n2/1p2p1B1/4P1b1/2NP1N2/PPP1BPPP/R2Q1RK1 b kq - 1 7,f8e7
r2q1rk1/1p1n1pp1/2p1pn1p/2Pp4/1P1P4/2NQPNP1/5PP1/2R2RK1 b - - 0 17,d8c7
4rr2/ppp1pkb1/2n1R1pp/3p4/3P2nB/2P2N2/PP1N1PPP/4R1K1 b - - 1 16,g4f6
4r1k1/p5p1/1p6/3p4/1P6/P2P2R1/K1P1N3/8 b - - 0 39,e8e2
1R1B4/3pk3/8/P3p2p/4P2K/1p3P2/r7/8 b - - 3 40,e7e6
8/4pk1p/B2b2p1/R3p3/8/2P1BK1P/1r3PP1/8 b - - 1 35,e7e6
2k2r1r/pp2qpp1/2p1p3/P2nN2p/3P4/2P4P/1P2QPP1/R4RK1 b - - 0 18,a7a6
r4rn1/3b3k/p2p2pP/2pP4/3qPN2/2N2P2/1P5Q/2R1K2R w K - 1 26,h2g3
r2qk2r/1pp2pp1/pbnp1nbp/4p3/4P2N/1BPP2NP/PP2QPP1/R1B1K2R b KQkq - 4 12,f6d7
r4rk1/3nbpp1/1q2p2p/ppp4P/3P1B2/2P3N1/PPQ2PP1/R3R1K1 w - - 0 19,d4d5
r4r1k/p1qnNppp/4p3/2Pp1b2/3Pn3/4P3/P2BBPPP/RN1Q1RK1 w - - 1 15,e7f5
8/8/4pp1k/8/5PB1/6B1/2qr1PK1/8 b - - 2 51,c2c1
r4rk1/ppp2pp1/2npbq1p/2b1p3/4P1P1/P1NP1N1P/1PP1BP2/R2QK2R b KQ - 0 10,a7a5
rr6/2p1q1pk/4pp1P/1p1p4/pPnP4/P1Q1PP2/1BP5/1K1R3R b - - 0 27,g7g6
